title,year,author
Measuring Uncertainty,2015,"['Jurado, Kyle', 'Ludvigson, Sydney C.', 'Ng, Serena']"
"The Cyclicality of Sales, Regular and Effective Prices: Business Cycle and Policy Implications",2015,"['Coibion, Olivier', 'Gorodnichenko, Yuriy', 'Hong, Gee Hee']"
The Limits of Price Discrimination,2015,"['Bergemann, Dirk', 'Brooks, Benjamin', 'Morris, Stephen']"
Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,2015,"['Tadelis, Steven', 'Zettelmeyer, Florian']"
"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",2015,"['Currie, Janet', 'Davis, Lucas', 'Greenstone, Michael', 'Walker, Reed']"
Systemic Risk and Stability in Financial Networks,2015,"['Acemoglu, Daron', 'Ozdaglar, Asuman', 'Tahbaz-Salehi, Alireza']"
When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation,2015,"['Cicala, Steve']"
"Cellular Service Demand: Biased Beliefs, Learning, and Bill Shock",2015,"['Grubb, Michael D.', 'Osborne, Matthew']"
Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,2015,"['Gowrisankaran, Gautam', 'Nevo, Aviv', 'Town, Robert']"
Reallocation and Technology: Evidence from the US Steel Industry,2015,"['Collard-Wexler, Allan', 'De Loecker, Jan']"
Infrastructure Quality and the Subsidy Trap,2015,"['McRae, Shaun']"
"Private Equity, Jobs, and Productivity",2014,"['Davis, Steven J.', 'Haltiwanger, John', 'Handley, Kyle', 'Jarmin, Ron', 'Lerner, Josh', 'Miranda, Javier']"
The Power of Communication,2014,"['Rahman, David']"
A Quantitative Analysis of the Used-Car Market,2014,"['Gavazza, Alessandro', 'Lizzeri, Alessandro', 'Roketskiy, Nikita']"
The Network Structure of International Trade,2014,"['Chaney, Thomas']"
The Effect of Mergers in Search Markets: Evidence from the Canadian Mortgage Industry,2014,"['Allen, Jason', 'Clark, Robert', 'Houde, Jean-Francois']"
Private Equity Premium Puzzle Revisited,2014,"['Kartashova, Katya']"
German Jewish Emigres and US Invention,2014,"['Moser, Petra', 'Voena, Alessandra', 'Waldinger, Fabian']"
Productivity Losses from Financial Frictions: Can Self-Financing Undo Capital Misallocation?,2014,"['Moll, Benjamin']"
Competition and Ideological Diversity: Historical Evidence from US Newspapers,2014,"['Gentzkow, Matthew', 'Shapiro, Jesse M.', 'Sinkinson, Michael']"
The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2014,"['Allcott, Hunt', 'Rogers, Todd']"
Pass-Through of Emissions Costs in Electricity Markets,2014,"['Fabra, Natalia', 'Reguant, Mar']"
"Subways, Strikes, and Slowdowns: The Impacts of Public Transit on Traffic Congestion",2014,"['Anderson, Michael L.']"
The Effect of Third-Party Funding of Plaintiffs on Settlement,2014,"['Daughety, Andrew F.', 'Reinganum, Jennifer F.']"
Promotional Reviews: An Empirical Investigation of Online Review Manipulation,2014,"['Mayzlin, Dina', 'Dover, Yaniv', 'Chevalier, Judith']"
Not Only What but Also When: A Theory of Dynamic Voluntary Disclosure,2014,"['Guttman, Ilan', 'Kremer, Ilan', 'Skrzypacz, Andrzej']"
E-lections: Voting Behavior and the Internet,2014,"['Falck, Oliver', 'Gold, Robert', 'Heblich, Stephan']"
"Patent Laws, Product Life-Cycle Lengths, and Multinational Activity",2014,"['Bilir, L. Kamran']"
"Importers, Exporters, and Exchange Rate Disconnect",2014,"['Amiti, Mary', 'Itskhoki, Oleg', 'Konings, Jozef']"
The Effect of Uncertainty on Investment: Evidence from Texas Oil Drilling,2014,"['Kellogg, Ryan']"
The Size Distribution of Farms and International Productivity Differences,2014,"['Adamopoulos, Tasso', 'Restuccia, Diego']"
The Wage Effects of Offshoring: Evidence from Danish Matched Worker-Firm Data,2014,"['Hummels, David', 'Jorgensen, Rasmus', 'Munch, Jakob', 'Xiang, Chong']"
Why Are Power Plants in India Less Efficient Than Power Plants in the United States?,2014,"['Chan, Hei Sing', 'Cropper, Maureen L.', 'Malik, Kabir']"
Powering Up China: Income Distributions and Residential Electricity Consumption,2014,"['Auffhammer, Maximilian', 'Wolfram, Catherine D.']"
The Costs and Consequences of Clean Air Act Regulation of CO2 from Power Plants,2014,"['Burtraw, Dallas', 'Linn, Josh', 'Palmer, Karen', 'Paul, Anthony']"
"Growth, Adoption, and Use of Mobile E-Commerce",2014,"['Einav, Liran', 'Levin, Jonathan', 'Popov, Igor', 'Sundaresan, Neel']"
Trading Dollars for Dollars: The Price of Attention Online and Offline,2014,"['Gentzkow, Matthew']"
Mobile Computing: The Next Platform Rivalry,2014,"Bresnahan, Timothy"
"Return of the Solow Paradox? IT, Productivity, and Employment in US Manufacturing",2014,"['Acemoglu, Daron', 'Autor, David', 'Dorn, David', 'Hanson, Gordon H.', 'Price, Brendan']"
Welfare and Trade without Pareto,2014,"['Head, Keith', 'Mayer, Thierry', 'Thoenig, Mathias']"
Monopolistic Competition and Optimum Product Selection,2014,"['Nocco, Antonella', 'Ottaviano, Gianmarco I. P.', 'Salto, Matteo']"
"Together at Last: Trade Costs, Demand Structure, and Welfare",2014,"['Mrazova, Monika', 'Neary, J. Peter']"
Entrepreneurial Innovation: Killer Apps in the iPhone Ecosystem,2014,"['Yin, Pai-Ling', 'Davis, Jason P.', 'Muzyrya, Yulia']"
Gender and Business Outcomes of Black and Hispanic New Entrepreneurs in the United States,2014,"['Mora, Marie T.', 'Davila, Alberto']"
The Role of Policy in the Great Recession and the Weak Recovery,2014,"['Taylor, John B.']"
Why Has US Policy Uncertainty Risen since 1960?,2014,"['Baker, Scott R.', 'Bloom, Nicholas', 'Canes-Wrone, Brandice', 'Davis, Steven J.', 'Rodden, Jonathan']"
Knowledge Is (Less) Power: Experimental Evidence from Residential Energy Use,2014,"['Jessoe, Katrina', 'Rapson, David']"
Frictionless Technology Diffusion: The Case of Tractors,2014,"['Manuelli, Rodolfo E.', 'Seshadri, Ananth']"
Bidding for Incomplete Contracts: An Empirical Analysis of Adaptation Costs,2014,"['Bajari, Patrick', 'Houghton, Stephanie', 'Tadelis, Steven']"
Spatial Development,2014,"['Desmet, Klaus', 'Rossi-Hansberg, Esteban']"
Vertical Integration and Input Flows,2014,"['Atalay, Enghin', 'Hortacsu, Ali', 'Syverson, Chad']"
Does Money Illusion Matter? Comment,2014,"['Petersen, Luba', 'Winn, Abel']"
The Economics of Predation: What Drives Pricing When There Is Learning-by-Doing?,2014,"['Besanko, David', 'Doraszelski, Ulrich', 'Kryukov, Yaroslav']"
Do Prices and Attributes Explain International Differences in Food Purchases?,2014,"['Dubois, Pierre', 'Griffith, Rachel', 'Nevo, Aviv']"
Trade Adjustment and Productivity in Large Crises,2014,"['Gopinath, Gita', 'Neiman, Brent']"
Raising Retailers' Profits: On Vertical Practices and the Exclusion of Rivals,2014,"['Asker, John', 'Bar-Isaac, Heski']"
Outside Options and the Failure of the Coase Conjecture,2014,"['Board, Simon', 'Pycia, Marek']"
Time to Build and Fluctuations in Bulk Shipping,2014,"['Kalouptsidi, Myrto']"
Do Consumers Respond to Marginal or Average Price? Evidence from Nonlinear Electricity Pricing,2014,"['Ito, Koichiro']"
"Market Size, Competition, and the Product Mix of Exporters",2014,"['Mayer, Thierry', 'Melitz, Marc J.', 'Ottaviano, Gianmarco I. P.']"
Tracing Value-Added and Double Counting in Gross Exports,2014,"['Koopman, Robert', 'Wang, Zhi', 'Wei, Shang-Jin']"
Finance and Misallocation: Evidence from Plant-Level Data,2014,"['Midrigan, Virgiliu', 'Xu, Daniel Yi']"
Immigration and the Diffusion of Technology: The Huguenot Diaspora in Prussia,2014,"['Hornung, Erik']"
Risk Shocks,2014,"['Christiano, Lawrence J.', 'Motto, Roberto', 'Rostagno, Massimo']"
Sales Taxes and Internet Commerce,2014,"['Einav, Liran', 'Knoepfle, Dan', 'Levin, Jonathan', 'Sundaresan, Neel']"
"Taxes, Cigarette Consumption, and Smoking Intensity: Reply",2013,"['Adda, Jerome', 'Cornaglia, Francesca']"
Vertical Integration and Exclusivity in Platform and Two-Sided Markets,2013,"['Lee, Robin S.']"
Time as a Trade Barrier,2013,"['Hummels, David L.', 'Schaur, Georg']"
When Do Secondary Markets Harm Firms?,2013,"['Chen, Jiawei', 'Esteban, Susanna', 'Shum, Matthew']"
Information and Quality When Motivation Is Intrinsic: Evidence from Surgeon Report Cards,2013,"['Kolstad, Jonathan T.']"
Two Perspectives on Preferences and Structural Transformation,2013,"['Herrendorf, Berthold', 'Rogerson, Richard', 'Valentinyi, Akos']"
Intertemporal Price Discrimination in Storable Goods Markets,2013,"['Hendel, Igal', 'Nevo, Aviv']"
Surplus Maximization and Optimality,2013,"['Schlee, Edward E.']"
Word-of-Mouth Communication and Percolation in Social Networks,2013,"['Campbell, Arthur']"
Competition with Exclusive Contracts and Market-Share Discounts,2013,"['Calzolari, Giacomo', 'Denicolo, Vincenzo']"
The Cost of Contract Renegotiation: Evidence from the Local Public Sector,2013,"['Gagnepain, Philippe', 'Ivaldi, Marc', 'Martimort, David']"
Does the Classic Microfinance Model Discourage Entrepreneurship among the Poor? Experimental Evidence from India,2013,"['Field, Erica', 'Pande, Rohini', 'Papp, John', 'Rigol, Natalia']"
Trade Liberalization and Embedded Institutional Reform: Evidence from Chinese Exporters,2013,"['Khandelwal, Amit K.', 'Schott, Peter K.', 'Wei, Shang-Jin']"
The China Syndrome: Local Labor Market Effects of Import Competition in the United States,2013,"['Autor, David H.', 'Dorn, David', 'Hanson, Gordon H.']"
"Immigration, Offshoring, and American Jobs",2013,"['Ottaviano, Gianmarco I. P.', 'Peri, Giovanni', 'Wright, Greg C.']"
Taxation and International Migration of Superstars: Evidence from the European Football Market,2013,"['Kleven, Henrik Jacobsen', 'Landais, Camille', 'Saez, Emmanuel']"
When Should Sellers Use Auctions?,2013,"['Roberts, James W.', 'Sweeting, Andrew']"
Ownership Consolidation and Product Characteristics: A Study of the US Daily Newspaper Market,2013,"['Fan, Ying']"
Lemons Markets and the Transmission of Aggregate Shocks,2013,"['Kurlat, Pablo']"
The Gravity of Knowledge,2013,"['Keller, Wolfgang', 'Yeaple, Stephen Ross']"
Estimating the Effect of Salience in Wholesale and Retail Car Markets,2013,"['Busse, Meghan R.', 'Lacetera, Nicola', 'Pope, Devin G.', 'Silva-Risso, Jorge', 'Sydnor, Justin R.']"
Can Financial Engineering Cure Cancer?,2013,"['Fagnan, David E.', 'Fernandez, Jose Maria', 'Lo, Andrew W.', 'Stein, Roger M.']"
Benefit-Cost Analysis for Financial Regulation,2013,"['Posner, Eric', 'Weyl, E. Glen']"
Efficient Retail Pricing in Electricity and Natural Gas Markets,2013,"['Puller, Steven L.', 'West, Jeremy']"
Transportation Fuels Policy since the OPEC Embargo: Paved with Good Intentions,2013,"['Knittel, Christopher R.']"
Natural Gas: From Shortages to Abundance in the United States,2013,"['Joskow, Paul L.']"
Earnings Inequality and the Intersectionality of Gender and Ethnicity in Sub-Saharan Africa: The Case of Tanzanian Manufacturing,2013,"['Elu, Juliet U.', 'Loubert, Linda']"
A Trapped-Factors Model of Innovation,2013,"['Bloom, Nicholas', 'Romer, Paul M.', 'Terry, Stephen J.', 'Van Reenen, John']"
Why Do Programmers Earn More in Houston Than Hyderabad? Evidence from Randomized Processing of US Visas,2013,"['Clemens, Michael A.']"
Comparisons of Weekly Hours over the Past Century and the Importance of Work-Sharing Policies in the 1930s,2013,"['Neumann, Todd C.', 'Taylor, Jason E.', 'Fishback, Price']"
A Theory of Charitable Fund-Raising with Costly Solicitations,2013,"['Name-Correa, Alvaro J.', 'Yildirim, Huseyin']"
Merger Policy with Merger Choice,2013,"['Nocke, Volker', 'Whinston, Michael D.']"
Public Monopoly and Economic Efficiency: Evidence from the Pennsylvania Liquor Control Board's Entry Decisions,2013,"['Seim, Katja', 'Waldfogel, Joel']"
Submission Fees and Response Times in Academic Publishing,2013,"['Cotton, Christopher']"
Making Sense of Nonbinding Retail-Price Recommendations,2013,"['Buehler, Stefan', 'Gartner, Dennis L.']"
Cross-Country Differences in Productivity: The Role of Allocation and Selection,2013,"['Bartelsman, Eric', 'Haltiwanger, John', 'Scarpetta, Stefano']"
Innovation and Institutional Ownership,2013,"['Aghion, Philippe', 'Van Reenen, John', 'Zingales, Luigi']"
Are Consumers Myopic? Evidence from New and Used Car Purchases,2013,"['Busse, Meghan R.', 'Knittel, Christopher R.', 'Zettelmeyer, Florian']"
Price Discrimination and Bargaining: Empirical Evidence from Medical Devices,2013,"['Grennan, Matthew']"
The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather: Reply,2012,"['Deschenes, Olivier', 'Greenstone, Michael']"
The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather: Comment,2012,"['Fisher, Anthony C.', 'Hanemann, W. Michael', 'Roberts, Michael J.', 'Schlenker, Wolfram']"
Revolving Door Lobbyists,2012,"['Blanes i Vidal, Jordi', 'Draca, Mirko', 'Fons-Rosen, Christian']"
Innovation and Foreign Ownership,2012,"['Guadalupe, Maria', 'Kuzmina, Olga', 'Thomas, Catherine']"
Loss Leading as an Exploitative Practice,2012,"['Chen, Zhijun', 'Rey, Patrick']"
"Exports, Export Destinations, and Skills",2012,"['Brambilla, Irene', 'Lederman, Daniel', 'Porto, Guido']"
Offshoring and the Role of Trade Agreements,2012,"['Antras, Pol', 'Staiger, Robert W.']"
Testing Models of Consumer Search Using Data on Web Browsing and Purchasing Behavior,2012,"['De Los Santos, Babur', 'Hortacsu, Ali', 'Wildenbeest, Matthijs R.']"
Physician Agency and Adoption of Generic Pharmaceuticals,2012,"['Iizuka, Toshiaki']"
The Rise of the Service Economy,2012,"['Buera, Francisco J.', 'Kaboski, Joseph P.']"
The Contribution of Large and Small Employers to Job Creation in Times of High and Low Unemployment,2012,"['Moscarini, Giuseppe', 'Postel-Vinay, Fabien']"
The Evolution of Brand Preferences: Evidence from Consumer Migration,2012,"['Bronnenberg, Bart J.', 'Dube, Jean-Pierre H.', 'Gentzkow, Matthew']"
Markups and Firm-Level Export Status,2012,"['De Loecker, Jan', 'Warzynski, Frederic']"
Heuristic Thinking and Limited Attention in the Car Market,2012,"['Lacetera, Nicola', 'Pope, Devin G.', 'Sydnor, Justin R.']"
Spatial Differentiation and Vertical Mergers in Retail Markets for Gasoline,2012,"['Houde, Jean-Francois']"
Industrial Structure and Capital Flows,2012,"['Jin, Keyu']"
"Fund Managers, Career Concerns, and Asset Price Volatility",2012,"['Guerrieri, Veronica', 'Kondor, Peter']"
Bundling and Competition for Slots,2012,"['Jeon, Doh-Shin', 'Menicucci, Domenico']"
Evaluating Microfoundations for Aggregate Price Rigidities: Evidence from Matched Firm-Level Data on Product Prices and Unit Labor Cost,2012,"['Carlsson, Mikael', 'Skans, Oskar Nordstrom']"
Competitive Pressure and the Adoption of Complementary Innovations,2012,"['Kretschmer, Tobias', 'Miravete, Eugenio J.', 'Pernias, Jose C.']"
Coming to America: Does Having a Developed Home Country Matter for Self-Employment in the United States?,2012,"['Uwaifo Oyelere, Ruth', 'Belton, Willie']"
"Access to Credit by Small Businesses: How Relevant Are Race, Ethnicity, and Gender?",2012,"['Asiedu, Elizabeth', 'Freeman, James A.', 'Nti-Addae, Akwasi']"
"Offshoring, Transition, and Training: Evidence from Danish Matched Worker-Firm Data",2012,"['Hummels, David', 'Munch, Jakob R.', 'Skipper, Lars', 'Xiang, Chong']"
Measuring the Upstreamness of Production and Trade Flows,2012,"['Antras, Pol', 'Chor, Davin', 'Fally, Thibault', 'Hillberry, Russell']"
Proximity and Production Fragmentation,2012,"['Johnson, Robert C.', 'Noguera, Guillermo']"
Sustaining Production Chains through Financial Linkages,2012,"['Kim, Se-Jik', 'Shin, Hyun Song']"
Global Supply Chains and Wage Inequality,2012,"['Costinot, Arnaud', 'Vogel, Jonathan', 'Wang, Su']"
Government Policy for a Partially Deregulated Industry: Deregulate It Fully,2012,"Winston, Clifford"
Telecommunications Deregulation,2012,"['Hausman, Jerry A.', 'Taylor, William E.']"
Dynamic Pricing of Electricity,2012,"['Joskow, Paul L.', 'Wolfram, Catherine D.']"
After Airline Deregulation and Alfred E. Kahn,2012,"['Rose, Nancy L.']"
Understanding Price Controls and Nonprice Competition with Matching Theory,2012,"['Hatfield, John William', 'Plott, Charles R.', 'Tanaka, Tomomi']"
Is Wikipedia Biased?,2012,"['Greenstein, Shane', 'Zhu, Feng']"
Three Principles for Market-Based Credit Regulation,2012,"['Mehrling, Perry']"
Capital Shortfall: A New Approach to Ranking and Regulating Systemic Risks,2012,"['Acharya, Viral', 'Engle, Robert', 'Richardson, Matthew']"
A Price Theory of Multi-sided Platforms: Reply,2018,"['Weyl, E. Glen']"
"Search, Design, and Market Structure",2012,"['Bar-Isaac, Heski', 'Caruana, Guillermo', 'Cunat, Vicente']"
What Do Emissions Markets Deliver and to Whom? Evidence from Southern California's NOx Trading Program,2012,"['Fowlie, Meredith', 'Holland, Stephen P.', 'Mansur, Erin T.']"
Information and Industry Dynamics,2012,"['Dinlersoz, Emin M.', 'Yorukoglu, Mehmet']"
Competition through Commissions and Kickbacks,2012,"['Inderst, Roman', 'Ottaviani, Marco']"
The Use of Full-Line Forcing Contracts in the Video Rental Industry,2012,"['Ho, Katherine', 'Ho, Justin', 'Mortimer, Julie Holland']"
The Welfare Effects of Bundling in Multichannel Television Markets,2012,"['Crawford, Gregory S.', 'Yurukoglu, Ali']"
The Internet and Local Wages: A Puzzle,2012,"['Forman, Chris', 'Goldfarb, Avi', 'Greenstein, Shane']"
Compulsory Licensing: Evidence from the Trading with the Enemy Act,2012,"['Moser, Petra', 'Voena, Alessandra']"
Standard Setting Committees: Consensus Governance for Shared Technology Platforms,2012,"['Simcoe, Timothy']"
Automobiles on Steroids: Product Attribute Trade-Offs and Technological Progress in the Automobile Sector,2011,"['Knittel, Christopher R.']"
Media and Political Persuasion: Evidence from Russia,2011,"['Enikolopov, Ruben', 'Petrova, Maria', 'Zhuravskaya, Ekaterina']"
Who Thinks about the Competition? Managerial Ability and Strategic Entry in US Local Telephone Markets,2011,"['Goldfarb, Avi', 'Xiao, Mo']"
The Effects of Rural Electrification on Employment: New Evidence from South Africa,2011,"['Dinkelman, Taryn']"
The Effect of Newspaper Entry and Exit on Electoral Politics,2011,"['Gentzkow, Matthew', 'Shapiro, Jesse M.', 'Sinkinson, Michael']"
Endogenous Information Flows and the Clustering of Announcements,2011,"['Acharya, Viral V.', 'DeMarzo, Peter', 'Kremer, Ilan']"
Clearing the Air? The Effects of Gasoline Content Regulation on Air Quality,2011,"['Auffhammer, Maximilian', 'Kellogg, Ryan']"
"International Prices, Costs, and Markup Differences",2011,"['Gopinath, Gita', 'Gourinchas, Pierre-Olivier', 'Hsieh, Chang-Tai', 'Li, Nicholas']"
Private Monitoring and Communication in Cartels: Explaining Recent Collusive Practices,2011,"['Harrington, Joseph E.', 'Skrzypacz, Andrzej']"
Searching and Learning by Trial and Error,2011,"['Callander, Steven']"
State Misallocation and Housing Prices: Theory and Evidence from China,2011,"['Wang, Shing-Yi']"
New York City Cab Drivers' Labor Supply Revisited: Reference-Dependent Preferences with Rational-Expectations Targets for Hours and Income,2011,"['Crawford, Vincent P.', 'Meng, Juanjuan']"
The Impact of Regulations on the Supply and Quality of Care in Child Care Markets,2011,"['Hotz, V. Joseph', 'Xiao, Mo']"
Environmental Accounting for Pollution in the United States Economy,2011,"['Muller, Nicholas Z.', 'Mendelsohn, Robert', 'Nordhaus, William']"
Group Size and Incentives to Contribute: A Natural Experiment at Chinese Wikipedia,2011,"['Zhang, Xiaoquan (Michael)', 'Zhu, Feng']"
Information and Prices with Capacity Constraints,2011,"['Lester, Benjamin']"
"Asymmetric Information, Adverse Selection and Online Disclosure: The Case of eBay Motors",2011,"['Lewis, Gregory']"
"Strike Three: Discrimination, Incentives, and Evaluation",2011,"['Parsons, Christopher A.', 'Sulaeman, Johan', 'Yates, Michael C.', 'Hamermesh, Daniel S.']"
Using Loopholes to Reveal the Marginal Cost of Regulation: The Case of Fuel-Economy Standards,2011,"['Anderson, Soren T.', 'Sallee, James M.']"
"R&D Investment, Exporting, and Productivity Dynamics",2011,"['Aw, Bee Yan', 'Roberts, Mark J.', 'Xu, Daniel Yi']"
The Role of Trading Frictions in Real Asset Markets,2011,"['Gavazza, Alessandro']"
Real Wage Index Numbers,2011,"['Pencavel, John']"
Helping Consumers Know Themselves,2011,"['Kamenica, Emir', 'Mullainathan, Sendhil', 'Thaler, Richard']"
Challenges from State-Federal Interactions in US Climate Change Policy,2011,"['Goulder, Lawrence H.', 'Stavins, Robert N.']"
Measuring the Benefits of Greater Spatial Granularity in Short-Term Pricing in Wholesale Electricity Markets,2011,"['Wolak, Frank A.']"
Financial Regulatory Reform: Challenges Ahead,2011,"['Kroszner, Randall S.', 'Strahan, Philip E.']"
Comparing the Costs of Intermittent and Dispatchable Electricity Generating Technologies,2011,"['Joskow, Paul L.']"
Why Can't US Airlines Make Money?,2011,"['Borenstein, Severin']"
"Rock and Roll Bands, (In)complete Contracts, and Creativity",2011,"['Ceulemans, Cedric', 'Ginsburgh, Victor', 'Legros, Patrick']"
Does Quality Adjustment Matter for Technologically Stable Products? An Application to the CPI for Food,2011,"['Greenlees, John S.', 'McClelland, Robert']"
What Is the Value of Terroir?,2011,"['Cross, Robin', 'Plantinga, Andrew J.', 'Stavins, Robert N.']"
Isolating the Symbolic Implications of Employee Mobility: Price Increases after Hiring Winemakers from Prominent Wineries,2011,"['Roberts, Peter W.', 'Khaire, Mukti', 'Rider, Christopher I.']"
"Climate, Grapevine Phenology, Wine Production, and Prices: Pauillac (1800-2009)",2011,"['Chevet, Jean-Michel', 'Lecocq, Sebastien', 'Visser, Michael']"
Wine Retail Price Dispersion in the United States: Searching for Expensive Wines?,2011,"['Jaeger, David A.', 'Storchmann, Karl']"
Forecasting Gasoline Prices Using Consumer Surveys,2011,"['Anderson, Soren T.', 'Kellogg, Ryan', 'Sallee, James M.', 'Curtin, Richard T.']"
"Fuel Economy, Car Class Mix, and Safety",2011,"['Jacobsen, Mark R.']"
Consumers' Perceptions and Misperceptions of Energy Costs,2011,"['Allcott, Hunt']"
Is an Automaker's Road to Bankruptcy Paved with Customers' Beliefs?,2011,"['Hortacsu, Ali', 'Matvos, Gregor', 'Shin, Chaehee', 'Syverson, Chad', 'Venkataraman, Sriram']"
Electricity Consumption and Durable Housing: Understanding Cohort Effects,2011,"['Costa, Dora L.', 'Kahn, Matthew E.']"
Do Residential Customers Respond to Hourly Prices? Evidence from a Dynamic Pricing Experiment,2011,"['Wolak, Frank A.']"
The Environmental Consequences of Global Reuse,2011,"['Kinnaman, Thomas', 'Yokoo, Hide-Fumi']"
Challenges in Merger Simulation Analysis,2011,"['Knittel, Christopher R.', 'Metaxoglou, Konstantinos']"
More Evidence on the Performance of Merger Simulations,2011,"['Weinberg, Matthew C.']"
Does Concentration Matter? Measurement of Petroleum Merger Price Effects,2011,"['Hosken, Daniel', 'Silvia, Louis', 'Taylor, Christopher']"
The Cyclical Behavior of Debt and Equity Finance,2011,"['Covas, Francisco', 'Den Haan, Wouter J.']"
Sales and Monetary Policy,2011,"['Guimaraes, Bernardo', 'Sheedy, Kevin D.']"
Bundle-Size Pricing as an Approximation to Mixed Bundling,2011,"['Chu, Chenghuan Sean', 'Leslie, Phillip', 'Sorensen, Alan']"
"Reference Prices, Costs, and Nominal Rigidities",2011,"['Eichenbaum, Martin', 'Jaimovich, Nir', 'Rebelo, Sergio']"
Growing Like China,2011,"['Song, Zheng', 'Storesletten, Kjetil', 'Zilibotti, Fabrizio']"
"Is Tiger Woods Loss Averse? Persistent Bias in the Face of Experience, Competition, and High Stakes",2011,"['Pope, Devin G.', 'Schweitzer, Maurice E.']"
Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment,2010,"['Apesteguia, Jose', 'Palacios-Huerta, Ignacio']"
"Organizational Structure, Communication, and Group Ethics",2010,"['Ellman, Matthew', 'Pezanis-Christou, Paul']"
Inheritance Law and Investment in Family Firms,2010,"['Ellul, Andrew', 'Pagano, Marco', 'Panunzi, Fausto']"
"Inventories, Lumpy Trade, and Large Devaluations",2010,"['Alessandria, George', 'Kaboski, Joseph P.', 'Midrigan, Virgiliu']"
A Price Theory of Multi-sided Platforms,2010,"['Weyl, E. Glen']"
Are Health Insurance Markets Competitive?,2010,"['Dafny, Leemore S.']"
Social Comparisons and Contributions to Online Communities: A Field Experiment on MovieLens,2010,"['Chen, Yan', 'Harper, F. Maxwell', 'Konstan, Joseph', 'Li, Sherry Xin']"
Morally Motivated Self-Regulation,2010,"['Baron, David P.']"
Vertical Relationships and Competition in Retail Gasoline Markets: Empirical Evidence from Contract Changes in Southern California: Comment,2010,"['Taylor, Christopher T.', 'Kreisle, Nicholas M.', 'Zimmerman, Paul R.']"
What Causes Industry Agglomeration? Evidence from Coagglomeration Patterns,2010,"['Ellison, Glenn', 'Glaeser, Edward L.', 'Kerr, William R.']"
The Burden of the Nondiversifiable Risk of Entrepreneurship,2010,"['Hall, Robert E.', 'Woodward, Susan E.']"
Is a Donor in Hand Better Than Two in the Bush? Evidence from a Natural Field Experiment,2010,"['Landry, Craig E.', 'Lange, Andreas', 'List, John A.', 'Price, Michael K.', 'Rupp, Nicholas G.']"
"Emissions Trading, Electricity Restructuring, and Investment in Pollution Abatement",2010,"['Fowlie, Meredith']"
A Study of the Internal Organization of a Bidding Cartel,2010,"['Asker, John']"
Product Creation and Destruction: Evidence and Price Implications,2010,"['Broda, Christian', 'Weinstein, David E.']"
Wage Subsidies for Microenterprises,2010,"['de Mel, Suresh', 'McKenzie, David', 'Woodruff, Christopher']"
The Impact of Targeting Technology on Advertising Markets and Media Competition,2010,"['Athey, Susan', 'Gans, Joshua S.']"
Online Advertising: Heterogeneity and Conflation in Market Design,2010,"['Levin, Jonathan', 'Milgrom, Paul']"
"Long Run Risks, Credit Markets, and Financial Structure",2010,"['Bhamra, Harjoat S.', 'Kuehn, Lars-Alexander', 'Strebulaev, Ilya A.']"
Growth Opportunities and Technology Shocks,2010,"['Kogan, Leonid', 'Papanikolaou, Dimitris']"
Investigating Income Effects in Scanner Data: Do Gasoline Prices Affect Grocery Purchases?,2010,"['Gicheva, Dora', 'Hastings, Justine', 'Villas-Boas, Sofia']"
The Impact of Commissions on Home Sales in Greater Boston,2010,"['Jia, Panle', 'Pathak, Parag A.']"
'One Discriminatory Rent' or 'Double Jeopardy': Multicomponent Negotiation for New Car Purchases,2010,"['Busse, Meghan R.', 'Silva-Risso, Jorge M.']"
Intrafirm Trade and Product Contractibility,2010,"['Bernard, Andrew B.', 'Jensen, J. Bradford', 'Redding, Stephen J.', 'Schott, Peter K.']"
Offshoring and Wage Inequality: Using Occupational Licensing as a Shifter of Offshoring Costs,2010,"['Criscuolo, Chiara', 'Garicano, Luis']"
Does Product Market Competition Lead Firms to Decentralize?,2010,"['Bloom, Nicholas', 'Sadun, Raffaella', 'Van Reenen, John']"
Imports 'R' Us: Retail Chains as Platforms for Developing-Country Imports,2010,"['Basker, Emek', 'Van, Pham Hoang']"
Wholesalers and Retailers in US Trade,2010,"['Bernard, Andrew B.', 'Jensen, J. Bradford', 'Redding, Stephen J.', 'Schott, Peter K.']"
Female Hires and the Success of Start-Up Firms,2010,"['Weber, Andrea', 'Zulehner, Christine']"
Unemployment and Small Cap Returns: The Nexus,2010,"['Moscarini, Giuseppe', 'Postel-Vinay, Fabien']"
"Openness, Open Source, and the Veil of Ignorance",2010,"['Scotchmer, Suzanne']"
Network Effects in Biology R&D,2010,"['Henkel, Joachim', 'Maurer, Stephen M.']"
Do Traditional Institutions Constrain Female Entrepreneurship? A Field Experiment on Business Training in India,2010,"['Field, Erica', 'Jayachandran, Seema', 'Pande, Rohini']"
